Periodico,Quantidade
Proceedings of the 15th ACM Conference on Embedded Network Sensor Systems,1
2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,23
"2021 44th International Convention on Information, Communication and Electronic Technology (MIPRO)",2
2018 IEEE 8th International Advance Computing Conference (IACC),1
2018 IEEE 19th International Workshop on Signal Processing Advances in Wireless Communications (SPAWC),3
"2019 International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)",3
"Proceedings of the ACM SIGCOMM 2019 Workshop on Mobile AirGround Edge Computing, Systems, Networks, and Applications",3
Procedia Manufacturing,9
Applied Ergonomics,1
Ocean Engineering,43
Microprocessors and Microsystems,32
Cold Regions Science and Technology,3
Transportation Research Procedia,19
"2016 2nd International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)",1
The 5th International Conference on Computer Science and Application Engineering,2
"2019 IEEE International Conferences on Ubiquitous Computing Communications (IUCC) and Data Science and Computational Intelligence (DSCI) and Smart Computing, Networking and Services (SmartCNS)",1
MethodsX,1
Agronomy,71
Proceedings of the Genetic and Evolutionary Computation Conference Companion,2
"2019 IEEE 10th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)",1
Applied Ocean Research,5
2019 IEEE International Conference on Unmanned Systems (ICUS),8
Energy and Buildings,6
Asian Transport Studies,1
Brain Sciences,3
2020 39th Chinese Control Conference (CCC),6
Infrastructures,5
Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems,1
"2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",2
IEEE Control Systems Letters,2
Mathematics,23
Information Fusion,21
2019 IEEE International Conference on Imaging Systems and Techniques (IST),1
2020 16th International Conference on Computational Intelligence and Security (CIS),4
Engineering Geology,12
ACM Trans. Embed. Comput. Syst.,6
2016 American Control Conference (ACC),1
Proceedings of the 19th International Conference on Autonomous Agents and MultiAgent Systems,7
Virtual Reality & Intelligent Hardware,7
2021 IEEE 4th International Conference on Information Systems and Computer Aided Education (ICISCAE),1
IEEE Transactions on Affective Computing,1
2020 IEEE 20th International Conference on Communication Technology (ICCT),3
"2015 International Conference on Humanoid, Nanotechnology, Information Technology,Communication and Control, Environment and Management (HNICEM)",2
