Periodico,Quantidade
Computer,1
Structures,3
Proceedings of the 2019 2nd International Conference on Control and Robot Technology,2
2019 IEEE International Conference on Service-Oriented System Engineering (SOSE),1
2021 IEEE 18th Annual Consumer Communications Networking Conference (CCNC),1
Cleaner Engineering and Technology,1
2011 10th International Conference on Machine Learning and Applications and Workshops,1
2020 IEEE 91st Vehicular Technology Conference (VTC2020-Spring),3
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2
2021 26th International Conference on Automation and Computing (ICAC),1
2020 IEEE Wireless Communications and Networking Conference Workshops (WCNCW),1
IEEE INFOCOM 2020 - IEEE Conference on Computer Communications,2
Ocean Modelling,1
Proceedings of the 4th ACM/IEEE Symposium on Edge Computing,2
Journal of Web Semantics,1
2020 IEEE International Conference on Robotics and Automation (ICRA),5
"2018 IEEE/ION Position, Location and Navigation Symposium (PLANS)",1
2020 IEEE Applied Imagery Pattern Recognition Workshop (AIPR),2
Powder Technology,1
International Journal of Molecular Sciences,4
"2021 14th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",1
Diversity,2
Ecotoxicology and Environmental Safety,1
2018 IEEE Southwest Symposium on Image Analysis and Interpretation (SSIAI),1
Geoderma,6
2015 9th International Conference on Sensing Technology (ICST),2
Proceedings of the 2019 International Conference on Modern Educational Technology,1
Resuscitation,2
Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,1
Journal of Arid Environments,3
International Journal of Transportation Science and Technology,4
2020 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),2
2019 International Conference on Computer and Drone Applications (IConDA),1
2019 IEEE 39th International Conference on Electronics and Nanotechnology (ELNANO),1
Soil Security,1
Proceedings of the 17th Brazilian Symposium on Human Factors in Computing Systems,1
Brain and Cognition,1
2021 11th International Conference on Intelligent Control and Information Processing (ICICIP),1
Nonlinear Analysis: Hybrid Systems,3
Personality and Individual Differences,1
Proceedings of the 13th Annual Conference Companion on Genetic and Evolutionary Computation,1
CAAI Transactions on Intelligence Technology,1
ICCAS 2010,1
2020 28th Signal Processing and Communications Applications Conference (SIU),1
Proceedings of the 14th Annual Conference on Genetic and Evolutionary Computation,1
Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,2
Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering,1
Proceedings of the 2016 International Conference on Autonomous Agents &amp; Multiagent Systems,3
Proceedings of the 29th Chinese Control Conference,1
2019 IEEE International Symposium on Multimedia (ISM),1
2016 International Siberian Conference on Control and Communications (SIBCON),1
2017 Annual IEEE International Systems Conference (SysCon),1
Proceedings of the 14th ACM/IEEE International Conference on Human-Robot Interaction,2
Form. Asp. Comput.,2
IEEE INFOCOM 2019 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),3
Proceedings of the 2019 on Designing Interactive Systems Conference,1
Proceedings of the Halfway to the Future Symposium 2019,1
Proceedings of the 31st Annual International Conference on Computer Science and Software Engineering,1
Decision Support Systems,1
2021 Radiation and Scattering of Electromagnetic Waves (RSEMW),1
Proceedings of the 2018 International Conference on Computing and Data Engineering,1
Proceedings of the 2020 4th International Symposium on Computer Science and Intelligent Control,1
"2020 10th Institute of Electrical and Electronics Engineers International Conference on Cyber Technology in Automation, Control, and Intelligent Systems (CYBER)",1
Photogrammetric Engineering & Remote Sensing,2
"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",1
Journal of Great Lakes Research,1
2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),2
2018 5th International Conference on Dependable Systems and Their Applications (DSA),1
2019 IEEE 25th International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA),1
2014 IEEE Visual Communications and Image Processing Conference,1
2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),5
Big Data Research,2
2017 6th International Conference on Computer Science and Network Technology (ICCSNT),1
"2021 6th International Conference on Communication, Image and Signal Processing (CCISP)",1
2017 International Workshop on Remote Sensing with Intelligent Processing (RSIP),1
Trends in Genetics,1
2019 7th International Conference on Robotics and Mechatronics (ICRoM),2
2017 IEEE/AIAA 36th Digital Avionics Systems Conference (DASC),2
"Electrical Engineering (ICEE), Iranian Conference on",1
Proceedings of the 2017 International Conference on Deep Learning Technologies,1
2017 7th IEEE International Conference on System Engineering and Technology (ICSET),1
"2017 Signal Processing: Algorithms, Architectures, Arrangements, and Applications (SPA)",1
2021 4th International Conference on Intelligent Autonomous Systems (ICoIAS),2
2020 IEEE Bombay Section Signature Conference (IBSSC),1
2020 IEEE Latin American GRSS ISPRS Remote Sensing Conference (LAGIRS),2
Proceedings of the 44th Annual Simulation Symposium,1
Biosensors and Bioelectronics,2
ACM Trans. Reconfigurable Technol. Syst.,1
Proceedings of the 4th ACM MobiCom Workshop on Drone Assisted Wireless Communications for 5G and Beyond,1
2012 17th International Conference on Methods Models in Automation Robotics (MMAR),1
Atmospheric Environment,2
Scientia Iranica,3
Chinese Journal of Physics,1
"2019 53rd Asilomar Conference on Signals, Systems, and Computers",1
Omega,1
2016 3rd International Conference on Soft Computing Machine Intelligence (ISCMI),1
TENCON 2019 - 2019 IEEE Region 10 Conference (TENCON),1
GeoHazards,1
Proceedings of the 11th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications,1
ACM Trans. Auton. Adapt. Syst.,2
2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),3
IEEE Micro,1
Forensic Science International: Digital Investigation,1
Proceedings of the 14th IEEE/ACM International Conference on Utility and Cloud Computing,1
ACM Trans. Internet Technol.,5
2013 IEEE 2nd International Conference Actual Problems of Unmanned Air Vehicles Developments Proceedings (APUAVD),1
2016 3rd International Conference on Information and Communication Technologies for Disaster Management (ICT-DM),1
2020 28th National Conference with International Participation (TELECOM),1
Ecological Engineering,3
TENCON 2014 - 2014 IEEE Region 10 Conference,1
2019 15th International Computer Engineering Conference (ICENCO),1
2020 2nd International Conference on Industrial Artificial Intelligence (IAI),2
Proceedings of the 6th ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications,1
2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),5
Proceedings of the 2017 Conference on Designing Interactive Systems,1
2019 IEEE International Conference on Computational Science and Engineering (CSE) and IEEE International Conference on Embedded and Ubiquitous Computing (EUC),1
CIRP Journal of Manufacturing Science and Technology,1
"2021 Design, Automation Test in Europe Conference Exhibition (DATE)",1
2020 IEEE Winter Applications of Computer Vision Workshops (WACVW),1
2019 10th Workshop on Hyperspectral Imaging and Signal Processing: Evolution in Remote Sensing (WHISPERS),1
Pattern Recognition Letters,2
2017 IEEE Symposium Series on Computational Intelligence (SSCI),2
2014 6th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),1
"2014 Innovative Applications of Computational Intelligence on Power, Energy and Controls with their impact on Humanity (CIPECH)",1
2015 IEEE International Conference on Information and Automation,2
2018 Ninth International Conference on Intelligent Control and Information Processing (ICICIP),1
"2017IEEE 9th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment and Management (HNICEM)",1
2016 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),1
2018 15th Conference on Computer and Robot Vision (CRV),1
Proceedings of the 28th International Symposium on Rapid System Prototyping: Shortening the Path from Specification to Prototype,1
2021 International Conference on Information and Digital Technologies (IDT),2
IEEE Transactions on Fuzzy Systems,2
SIGSPATIAL Special,1
Proceedings of the 8th ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,1
2018 IEEE Conference on Decision and Control (CDC),1
Computers & Graphics,1
2021 Integrated Communications Navigation and Surveillance Conference (ICNS),1
Geomatics,1
Geography and Sustainability,2
IEEE Transactions on Electromagnetic Compatibility,1
Proceedings of the 1st ACM International Workshop on Security and Safety for Intelligent Cyber-Physical Systems,1
"International Conference on Data Science, E-Learning and Information Systems 2021",1
Proceedings of the 2nd ACM International Conference on Multimedia in Asia,1
Proceedings of the Third International Conference on Advanced Informatics for Computing Research,2
17th International Conference on Information Fusion (FUSION),1
Biosystems,1
2021 IEEE Asia Pacific Conference on Wireless and Mobile (APWiMob),1
2021 9th RSI International Conference on Robotics and Mechatronics (ICRoM),1
Proceedings of the 2021 Drone Systems Engineering and Rapid Simulation and Performance Evaluation: Methods and Tools Proceedings,3
Proceedings of the 2015 International Conference on Autonomous Agents and Multiagent Systems,4
"2018 3rd IEEE International Conference on Recent Trends in Electronics, Information Communication Technology (RTEICT)",1
"2017 Workshop on Research, Education and Development of Unmanned Aerial Systems (RED-UAS)",2
2018 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS),1
Genes,1
2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,1
2011 19th Mediterranean Conference on Control Automation (MED),1
2015 IEEE International Conference on Dependable Systems and Networks Workshops,1
Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,2
Proceedings of the International Conference on Internet of Things Design and Implementation,1
Proceedings of the 2020 12th International Conference on Machine Learning and Computing,3
2021 17th International Conference on Distributed Computing in Sensor Systems (DCOSS),2
IEEE INFOCOM 2021 - IEEE Conference on Computer Communications,3
Proceedings of the 2015 European Conference on Software Architecture Workshops,1
Proceedings of the 2018 International Conference on Service Robotics Technologies,1
2021 IEEE International Conference on Environment and Electrical Engineering and 2021 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I CPS Europe),3
"2017 International Conference on Vision, Image and Signal Processing (ICVISP)",1
Proceedings of the 2021 on Great Lakes Symposium on VLSI,1
"Proceedings of the 8th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",1
Academic Radiology,1
"Proceedings of the Twenty-First International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",2
ACM Trans. Cyber-Phys. Syst.,3
2014 IEEE International Conference on Robotics and Automation (ICRA),1
2018 5th International Conference on Systems and Informatics (ICSAI),2
"2020 IEEE International Conference on Industry 4.0, Artificial Intelligence, and Communications Technology (IAICT)",1
Proceedings of the 6th International Conference on Human-Agent Interaction,1
2021 IEEE International Symposium on Technologies for Homeland Security (HST),1
2021 IEEE 18th International Conference on Mobile Ad Hoc and Smart Systems (MASS),1
Proceedings of the 2019 5th International Conference on Computing and Artificial Intelligence,1
"2018 10th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",1
The 2012 International Joint Conference on Neural Networks (IJCNN),1
2014 IEEE 3rd International Conference on Methods and Systems of Navigation and Motion Control (MSNMC),1
2016 8th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),1
Proceedings of the 36th International Conference on Computer-Aided Design,1
Land Use Policy,6
J. Emerg. Technol. Comput. Syst.,1
2018 20th International Conference on Advanced Communication Technology (ICACT),3
2020 22nd International Conference on Advanced Communication Technology (ICACT),2
2020 IEEE India Geoscience and Remote Sensing Symposium (InGARSS),2
IEEE Transactions on Intelligent Vehicles,1
2016 International Workshop on Recent Advances in Robotics and Sensor Technology for Humanitarian Demining and Counter-IEDs (RST),1
2019 International Conference on Computational Science and Computational Intelligence (CSCI),1
2021 IEEE International Symposium on Circuits and Systems (ISCAS),1
Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,1
"2019 23rd International Conference on System Theory, Control and Computing (ICSTCC)",1
2018 Innovations in Intelligent Systems and Applications Conference (ASYU),1
2020 5th Asia Conference on Power and Electrical Engineering (ACPEE),1
"Proceedings of the 2020 4th International Conference on Vision, Image and Signal Processing",1
"Proceedings of the 2017 International Conference on Wireless Communications, Networking and Applications",1
2015 34th Chinese Control Conference (CCC),1
Proceedings of the 3rd International Conference on Computing for Geospatial Research and Applications,1
Journal of Loss Prevention in the Process Industries,1
2021 IEEE International Workshop on Information Forensics and Security (WIFS),1
2020 3rd International Conference on Emerging Technologies in Computer Engineering: Machine Learning and Internet of Things (ICETCE),1
Proceedings of the 11th International Conference on Computer Modeling and Simulation,1
2020 IEEE REGION 10 CONFERENCE (TENCON),1
2016 IEEE Region 10 Conference (TENCON),1
2019 IEEE 17th World Symposium on Applied Machine Intelligence and Informatics (SAMI),1
2018 International Electronics Symposium on Engineering Technology and Applications (IES-ETA),1
Water Science and Engineering,1
Proceedings of the 6th ACM SIGSPATIAL Workshop on Analytics for Big Geospatial Data,1
"2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",1
2019 IEEE 15th International Conference on Control and Automation (ICCA),3
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,1
2015 54th IEEE Conference on Decision and Control (CDC),1
The Egyptian Journal of Remote Sensing and Space Science,2
Cities,2
Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering,1
Journal of Materials Science & Technology,2
2017 9th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games),1
2020 International Conference on Pervasive Artificial Intelligence (ICPAI),2
Cancers,1
2018 International Seminar on Intelligent Technology and Its Applications (ISITIA),1
2016 10th International Conference on Intelligent Systems and Control (ISCO),1
2021 The 4th International Conference on Image and Graphics Processing,4
The Asian Journal of Shipping and Logistics,1
2021 International Conference on Information Networking (ICOIN),1
2019 International Radar Conference (RADAR),2
2020 2nd International Conference on Innovative Mechanisms for Industry Applications (ICIMIA),1
2018 2nd International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),1
2020 International Conference on Computational Performance Evaluation (ComPE),1
2021 International Conference on Wireless Communications and Smart Grid (ICWCSG),1
Proceedings of the 2016 International Conference on Parallel Architectures and Compilation,1
Hydrology,1
"2019 14th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS)",1
2019 IEEE International Conference on Industrial Internet (ICII),1
Proceedings of the 3rd International Conference on Computer Science and Application Engineering,2
2020 IEEE 3rd 5G World Forum (5GWF),1
Journal of Hazardous Materials,2
2013 International Conference on Unmanned Aircraft Systems (ICUAS),1
IEEE Transactions on Smart Grid,1
2020 IEEE 26th International Conference on Parallel and Distributed Systems (ICPADS),1
2016 4th International Conference on Methods and Systems of Navigation and Motion Control (MSNMC),3
ACM Trans. Spatial Algorithms Syst.,1
2020 IEEE 16th International Conference on Control Automation (ICCA),1
IEEE EUROCON 2019 -18th International Conference on Smart Technologies,2
IEEE Power and Energy Technology Systems Journal,1
Proceedings of the 4th International Conference on Smart City Applications,2
2021 IEEE International Workshop on Metrology for Industry 4.0 IoT (MetroInd4.0 IoT),1
2019 Global IoT Summit (GIoTS),1
Proceedings of the 18th ACM International Conference on Computing Frontiers,1
2019 IEEE 5th International Conference Actual Problems of Unmanned Aerial Vehicles Developments (APUAVD),1
Water Research,4
"2020 IEEE/ION Position, Location and Navigation Symposium (PLANS)",4
2021 15th European Conference on Antennas and Propagation (EuCAP),1
2020 IEEE CyberPELS (CyberPELS),1
2021 11th Workshop on Hyperspectral Imaging and Signal Processing: Evolution in Remote Sensing (WHISPERS),1
2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT),1
2013 Winter Simulations Conference (WSC),1
IEEE Internet of Things Magazine,1
2021 The 4th International Conference on Machine Learning and Machine Intelligence,1
"Proceedings of the 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",1
SIGSOFT Softw. Eng. Notes,2
"Proceedings of the 2nd International Conference on Vision, Image and Signal Processing",1
Journal of Computational Design and Engineering,1
Proceedings of the 9th ACM International Conference on PErvasive Technologies Related to Assistive Environments,1
IEEE/ACM Transactions on Networking,1
"2021 18th Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)",2
IEEE INFOCOM 2021 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),3
2017 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),1
Proceedings of the International Conference on Research in Adaptive and Convergent Systems,1
2021 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA),1
2020 International Conference on Advanced Robotics and Intelligent Systems (ARIS),2
Biomimetic Intelligence and Robotics,1
2021 International Conference on Multimedia Analysis and Pattern Recognition (MAPR),1
2021 4th International Conference on Computer Science and Software Engineering (CSSE 2021),1
Soil Dynamics and Earthquake Engineering,1
Proceedings of the Second ACM/IEEE Symposium on Edge Computing,1
Proceedings of the 10th International Conference on Internet Multimedia Computing and Service,1
2020 12th International Conference on Advanced Infocomm Technology (ICAIT),1
2020 Joint 11th International Conference on Soft Computing and Intelligent Systems and 21st International Symposium on Advanced Intelligent Systems (SCIS-ISIS),1
SIGMETRICS Perform. Eval. Rev.,2
2021 29th European Signal Processing Conference (EUSIPCO),2
Proceedings of the 9th Asia-Pacific Symposium on Internetware,1
2018 1st International Conference on Computer Applications Information Security (ICCAIS),1
2018 IEEE Aerospace Conference,2
2013 IEEE International Conference on Robotics and Automation,1
2021 IEEE International Conference on Mechatronics and Automation (ICMA),1
2021 4th International Conference on Pattern Recognition and Artificial Intelligence (PRAI),1
"2018 52nd Asilomar Conference on Signals, Systems, and Computers",1
2017 IEEE 2nd International Conference on Signal and Image Processing (ICSIP),1
2018 IEEE 87th Vehicular Technology Conference (VTC Spring),1
2021 IEEE 4th 5G World Forum (5GWF),1
2019 IEEE 17th International Conference on Industrial Informatics (INDIN),1
Combustion and Flame,1
"Proceedings of the 23rd International ACM Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",1
South African Journal of Botany,1
"Proceedings of the 2019 8th International Conference on Networks, Communication and Computing",1
Propulsion and Power Research,1
2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),1
Environmental Research,4
2017 IEEE Wireless Communications and Networking Conference (WCNC),1
"Proceedings of the 1st International Workshop on Internet of People, Assistive Robots and Things",1
2020 IEEE 4th Conference on Energy Internet and Energy System Integration (EI2),2
Proceedings of the 57th ACM/EDAC/IEEE Design Automation Conference,1
2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2
IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society,2
2019 5th Conference on Knowledge Based Engineering and Innovation (KBEI),1
2021 6th International Conference on Machine Learning Technologies,1
2019 Seventh International Symposium on Computing and Networking Workshops (CANDARW),1
2017 IEEE 7th Annual Computing and Communication Workshop and Conference (CCWC),1
"2021 18th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)",1
Nuclear Engineering and Technology,3
Journal of Low Power Electronics and Applications,3
"2019 International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",3
IEEE Transactions on Dependable and Secure Computing,1
Proceedings of the 2nd International Conference on Applications of Intelligent Systems,1
"Proceedings of the 4th Edition of International Conference on Geo-IT and Water Resources 2020, Geo-IT and Water Resources 2020",1
2021 2nd International Conference on Range Technology (ICORT),2
2020 International Conference on Information Networking (ICOIN),2
IEEE Transactions on Transportation Electrification,1
2020 IEEE Energy Conversion Congress and Exposition (ECCE),1
2018 17th IEEE International Conference on Machine Learning and Applications (ICMLA),2
"2021 2nd International Conference On Smart Cities, Automation Intelligent Computing Systems (ICON-SONICS)",1
Geoscience Frontiers,1
2018 IEEE First International Conference on Artificial Intelligence and Knowledge Engineering (AIKE),1
2016 IEEE Symposium Series on Computational Intelligence (SSCI),1
"2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)",1
2019 IEEE Conference on Communications and Network Security (CNS),1
"Proceedings of the 11th Nordic Conference on Human-Computer Interaction: Shaping Experiences, Shaping Society",1
"2020 5th International Conference on Devices, Circuits and Systems (ICDCS)",1
2017 IEEE Globecom Workshops (GC Wkshps),1
2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS),1
Proceedings of the 13th ACM International Conference on PErvasive Technologies Related to Assistive Environments,2
Environmental Challenges,2
Multimodal Technologies and Interaction,2
2015 International Conference on Unmanned Aircraft Systems (ICUAS),1
Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture,1
"2021 IEEE 5th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)",1
Advances in Water Resources,2
Neuroscience & Biobehavioral Reviews,1
Journal of Materials Processing Technology,1
"2021 International Conference on Computer, Control and Robotics (ICCCR)",1
"2021 3rd International Conference on Image, Video and Signal Processing",1
2019 2nd International Conference on Signal Processing and Information Security (ICSPIS),1
IEEE Latin America Transactions,2
"2012 2nd International Conference ""Methods and Systems of Navigation and Motion Control"" (MSNMC)",1
2019 International Conference on Engineering and Telecommunication (EnT),1
"Proceedings of the 2017 International Conference on Intelligent Systems, Metaheuristics &amp; Swarm Intelligence",1
2018 International Conference on Information Systems and Computer Aided Education (ICISCAE),1
Proceedings of the International Conference on Omni-Layer Intelligent Systems,1
Recent Advances in Space Technology Services and Climate Change 2010 (RSTS CC-2010),1
2020 28th European Signal Processing Conference (EUSIPCO),2
Proceedings of the 2019 International Conference on Artificial Intelligence and Computer Science,1
"2020 International Symposium on Networks, Computers and Communications (ISNCC)",1
"24th International Symposium on Research in Attacks, Intrusions and Defenses",1
Sensors and Actuators Reports,1
2015 IEEE/SICE International Symposium on System Integration (SII),1
Proceedings of the 2020 ACM SIGMOD International Conference on Management of Data,1
2020 2nd International Conference on Image Processing and Machine Vision,1
Proceedings of the International Conference on Machine Vision and Applications,1
2019 IEEE International Conference on Vehicular Electronics and Safety (ICVES),1
2021 IEEE 4th International Conference on Electronics Technology (ICET),1
2019 SoutheastCon,1
2012 IEEE International Symposium on Industrial Electronics,1
2013 25th Chinese Control and Decision Conference (CCDC),1
"Proceedings of the 24th International ACM Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",1
2016 13th International Scientific-Technical Conference on Actual Problems of Electronics Instrument Engineering (APEIE),2
2020 14th European Conference on Antennas and Propagation (EuCAP),1
2017 15th International Conference on Quality in Research (QiR) : International Symposium on Electrical and Computer Engineering,1
Proceedings of the 48th Annual Simulation Symposium,1
2019 4th International Conference on Cloud Computing and Internet of Things (CCIOT),1
Proceedings of the 2020 3rd International Conference on Robot Systems and Applications,2
2018 37th Chinese Control Conference (CCC),3
2019 19th International Conference on Advanced Robotics (ICAR),1
2021 2nd International Conference on Innovative and Creative Information Technology (ICITech),1
"2020 20th International Conference on Control, Automation and Systems (ICCAS)",1
Communications in Nonlinear Science and Numerical Simulation,1
2019 11th International Conference on Intelligent Human-Machine Systems and Cybernetics (IHMSC),1
"2016 2nd International Conference on Control, Automation and Robotics (ICCAR)",1
2018 Chinese Control And Decision Conference (CCDC),2
Proceedings of the 1st ACM Workshop on Autonomous and Intelligent Mobile Systems,1
2017 European Conference on Mobile Robots (ECMR),1
2019 Third International Conference on Intelligent Computing in Data Sciences (ICDS),1
2011 3rd International Workshop on Intelligent Systems and Applications,1
International Journal of Production Economics,2
2019 16th International Symposium on Wireless Communication Systems (ISWCS),1
Case Studies on Transport Policy,1
2018 10th IAPR Workshop on Pattern Recognition in Remote Sensing (PRRS),2
Proceedings of the 20th ACM International Conference on Multimodal Interaction,1
International Journal of Naval Architecture and Ocean Engineering,1
"2020 3rd International Conference on Sensors, Signal and Image Processing",1
"2020 Fourth World Conference on Smart Trends in Systems, Security and Sustainability (WorldS4)",1
2020 The 8th International Conference on Information Technology: IoT and Smart City,1
Ore Geology Reviews,1
Proceedings of the 2020 International Conference on Cyberspace Innovation of Advanced Technologies,1
2010 2nd International Conference on Advanced Computer Control,1
2019 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC),1
2019 20th Asia-Pacific Network Operations and Management Symposium (APNOMS),2
Proceedings of the 2019 3rd High Performance Computing and Cluster Technologies Conference,1
"2020 13th International Conference ""Management of large-scale system development"" (MLSD)",1
2019 Fifth Indian Control Conference (ICC),1
2020 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),1
"Proceedings of the 2019 International Conference on Artificial Intelligence, Robotics and Control",1
2020 IEEE ANDESCON,1
2017 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems (MFI),2
International Journal of Greenhouse Gas Control,1
Chemometrics and Intelligent Laboratory Systems,1
2018 25th International Conference on Mechatronics and Machine Vision in Practice (M2VIP),1
2017 IEEE International Conference on Data Science and Advanced Analytics (DSAA),1
Proceedings of the 10th World Congress on Intelligent Control and Automation,1
2013 IEEE Symposium on Computational Intelligence for Security and Defense Applications (CISDA),1
"2016 Dynamics of Systems, Mechanisms and Machines (Dynamics)",1
2016 35th Chinese Control Conference (CCC),2
"2017 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",1
Journal of Electronic Science and Technology,1
2013 IEEE/AIAA 32nd Digital Avionics Systems Conference (DASC),1
2020 IEEE 61th International Scientific Conference on Power and Electrical Engineering of Riga Technical University (RTUCON),1
2016 5th Mediterranean Conference on Embedded Computing (MECO),1
2019 International Conference on Advanced Electrical Engineering (ICAEE),1
"2020 1st International Conference on Communications, Control Systems and Signal Processing (CCSSP)",2
2011 50th IEEE Conference on Decision and Control and European Control Conference,1
2017 28th Irish Signals and Systems Conference (ISSC),1
Atmospheric Environment: X,1
2020 IEEE 24th International Conference on Intelligent Engineering Systems (INES),1
2017 18th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),1
2019 IEEE Vehicular Networking Conference (VNC),1
Industrial Marketing Management,1
Nitrogen,2
2014 American Control Conference,2
Fire Safety Journal,1
Government Information Quarterly,1
2018 IEEE 20th Conference on Business Informatics (CBI),1
Proceedings of the 16th ACM Symposium on QoS and Security for Wireless and Mobile Networks,1
"2017 International Conference on Communication, Computing and Digital Systems (C-CODE)",1
2019 IEEE Sensors Applications Symposium (SAS),1
2021 5th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),1
2018 IEEE International Conference on Information and Automation (ICIA),1
2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),1
2021 28th Saint Petersburg International Conference on Integrated Navigation Systems (ICINS),1
"2019 34th International Technical Conference on Circuits/Systems, Computers and Communications (ITC-CSCC)",2
2020 International Seminar on Intelligent Technology and Its Applications (ISITIA),1
"2020 Asia-Pacific Conference on Image Processing, Electronics and Computers (IPEC)",1
Proceedings of the 17th ACM/IEEE International Conference on Information Processing in Sensor Networks,1
SoutheastCon 2018,1
2021 44th International Conference on Telecommunications and Signal Processing (TSP),1
Proceedings of the Genetic and Evolutionary Computation Conference,1
"Proceedings of 2014 IEEE Chinese Guidance, Navigation and Control Conference",1
2012 Brazilian Robotics Symposium and Latin American Robotics Symposium,1
The 25th Annual International Conference on Mobile Computing and Networking,1
Journal of Space Safety Engineering,1
Integration,1
IEEE Networking Letters,2
"2021 IEEE 11th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",1
The 10th International Conference on Autonomous Agents and Multiagent Systems - Volume 1,1
IEEE Transactions on Signal Processing,1
IEEE Vehicular Technology Magazine,1
"Proceedings of the 17th ACM Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, &amp; Ubiquitous Networks",1
Proceedings of the 9th ACM/IEEE International Conference on Cyber-Physical Systems,2
2017 IEEE International Conference on INnovations in Intelligent SysTems and Applications (INISTA),1
"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",1
Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,2
2021 IEEE International Conference on Automation/XXIV Congress of the Chilean Association of Automatic Control (ICA-ACCA),1
2019 IEEE International Conference on Industrial Cyber Physical Systems (ICPS),2
Proceedings of the 12th ACM SIGMETRICS/PERFORMANCE Joint International Conference on Measurement and Modeling of Computer Systems,1
International Journal of Critical Infrastructure Protection,1
Journal of Theoretical Biology,1
2019 International Conference on Information Networking (ICOIN),1
"2021 17th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)",1
2020 35th Youth Academic Annual Conference of Chinese Association of Automation (YAC),1
2010 International Conference on Electromagnetics in Advanced Applications,1
Metals,2
2020 21st Asia-Pacific Network Operations and Management Symposium (APNOMS),1
2018 IEEE International Conference on Consumer Electronics (ICCE),1
